Java HotSpot(TM) Client VM (25.60-b23) for windows-x86 JRE (1.8.0_60-b27), built on Aug  4 2015 10:57:40 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 3399160k(995136k free), swap 6796604k(3629564k free)
CommandLine flags: -XX:InitialHeapSize=1048576000 -XX:MaxHeapSize=1048576000 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
4.876: [GC (Allocation Failure) 4.876: [DefNew: 960K->63K(960K), 0.0037559 secs] 60723K->60697K(1023936K), 0.0038400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.955: [GC (Allocation Failure) 4.955: [DefNew: 959K->63K(960K), 0.0055317 secs] 61593K->61533K(1023936K), 0.0056459 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.005: [GC (Allocation Failure) 5.005: [DefNew: 959K->64K(960K), 0.0049554 secs] 62429K->62415K(1023936K), 0.0050597 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.083: [GC (Allocation Failure) 5.083: [DefNew: 960K->64K(960K), 0.0034955 secs] 63311K->63285K(1023936K), 0.0035813 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.132: [GC (Allocation Failure) 5.132: [DefNew: 960K->63K(960K), 0.0028657 secs] 64181K->64170K(1023936K), 0.0029470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.181: [GC (Allocation Failure) 5.181: [DefNew: 959K->64K(960K), 0.0057544 secs] 65066K->65044K(1023936K), 0.0058560 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
5.340: [GC (Allocation Failure) 5.340: [DefNew: 960K->63K(960K), 0.0031108 secs] 65940K->65915K(1023936K), 0.0031886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.387: [GC (Allocation Failure) 5.387: [DefNew: 959K->63K(960K), 0.0031729 secs] 66811K->66760K(1023936K), 0.0032528 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.465: [GC (Allocation Failure) 5.465: [DefNew: 959K->63K(960K), 0.0051512 secs] 67656K->67597K(1023936K), 0.0052535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.512: [GC (Allocation Failure) 5.512: [DefNew: 959K->63K(960K), 0.0050968 secs] 68493K->68475K(1023936K), 0.0051934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.563: [GC (Allocation Failure) 5.563: [DefNew: 959K->63K(960K), 0.0026350 secs] 69371K->69309K(1023936K), 0.0027156 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.611: [GC (Allocation Failure) 5.611: [DefNew: 959K->64K(960K), 0.0051571 secs] 70205K->70192K(1023936K), 0.0052566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.669: [GC (Allocation Failure) 5.669: [DefNew: 960K->64K(960K), 0.0051805 secs] 71088K->71071K(1023936K), 0.0052825 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.769: [GC (Allocation Failure) 5.769: [DefNew: 960K->63K(960K), 0.0039332 secs] 71967K->71929K(1023936K), 0.0040177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.816: [GC (Allocation Failure) 5.816: [DefNew: 959K->64K(960K), 0.0029003 secs] 72825K->72730K(1023936K), 0.0029788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.904: [GC (Allocation Failure) 5.904: [DefNew: 960K->63K(960K), 0.0040090 secs] 73626K->73591K(1023936K), 0.0040969 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.956: [GC (Allocation Failure) 5.956: [DefNew: 959K->63K(960K), 0.0059039 secs] 74487K->74461K(1023936K), 0.0060093 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.049: [GC (Allocation Failure) 6.049: [DefNew: 959K->64K(960K), 0.0055017 secs] 75357K->75337K(1023936K), 0.0056015 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.112: [GC (Allocation Failure) 6.112: [DefNew: 959K->63K(960K), 0.0053579 secs] 76233K->76221K(1023936K), 0.0054497 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.162: [GC (Allocation Failure) 6.162: [DefNew: 959K->63K(960K), 0.0058686 secs] 77117K->77107K(1023936K), 0.0059754 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
6.218: [GC (Allocation Failure) 6.218: [DefNew: 959K->63K(960K), 0.0028008 secs] 78003K->77826K(1023936K), 0.0028654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.279: [GC (Allocation Failure) 6.279: [DefNew: 959K->64K(960K), 0.0028235 secs] 78722K->78675K(1023936K), 0.0028961 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.329: [GC (Allocation Failure) 6.329: [DefNew: 960K->64K(960K), 0.0048213 secs] 79571K->79538K(1023936K), 0.0049107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.395: [GC (Allocation Failure) 6.395: [DefNew: 960K->63K(960K), 0.0030853 secs] 80434K->80401K(1023936K), 0.0031603 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.494: [GC (Allocation Failure) 6.494: [DefNew: 959K->63K(960K), 0.0029725 secs] 81297K->81250K(1023936K), 0.0030469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.556: [GC (Allocation Failure) 6.556: [DefNew: 959K->64K(960K), 0.0056054 secs] 82146K->82097K(1023936K), 0.0058096 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.603: [GC (Allocation Failure) 6.603: [DefNew: 960K->64K(960K), 0.0033921 secs] 82993K->82936K(1023936K), 0.0034742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.651: [GC (Allocation Failure) 6.651: [DefNew: 960K->63K(960K), 0.0028748 secs] 83832K->83770K(1023936K), 0.0029509 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.700: [GC (Allocation Failure) 6.700: [DefNew: 959K->64K(960K), 0.0060142 secs] 84666K->84657K(1023936K), 0.0061203 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
